frecuencia,perdida_agregada
85,688499.0417852659
72,505743.3678726439
86,634904.0110721488
79,713304.834076459
76,777712.5935169705
78,494920.9886301011
77,574090.96298764
71,466343.2064767822
81,527976.4664224472
83,594160.4133270397
86,784986.2043339746
86,516444.1908141818
76,435012.85518327256
74,515191.10980734235
66,524521.2942309217
78,449173.6066890451
78,430114.4972839092
78,549723.6319375869
99,821496.0325520331
83,625552.5879049777
75,526335.1319469402
91,701235.4921636069
80,518640.3647405364
68,475521.9552936519
83,483471.8306175984
76,616151.7005238786
78,503502.89405003266
92,731563.7092738817
84,607833.924176062
83,623158.1150918666
90,691138.832512111
87,572339.8644033625
71,500314.2361345882
66,405206.15154468344
83,595835.7140730947
81,552117.3082192703
69,542006.5782065712
75,572269.2172512271
81,733073.3912623524
96,696938.2423920447
76,663492.3066273271
75,560984.2402543955
76,449452.08324178064
82,648801.2098097964
69,524033.60083471873
73,449157.24263721635
80,619727.0006441136
67,601511.8403856048
75,628187.9789257327
90,545913.7011869617
91,724717.260186703
75,480497.85995174374
70,448745.8160525082
76,545328.9350950923
82,638844.8530045439
94,617592.7515497262
74,421310.3596636721
73,482998.7375172483
89,590132.4655102706
86,575235.7620336334
83,691452.5888670993
78,565430.2566532444
79,612610.4540974105
66,436451.7270830963
96,535422.2301182698
79,568724.6851725437
87,647516.696580923
86,544624.2253980753
70,510115.9675886397
74,580352.0420723318
84,639174.842298169
84,656925.8195427043
85,550183.719433969
78,569714.4963472397
82,628889.1678908614
82,432306.74588282465
76,407578.5190761648
87,545967.4342676492
87,599222.5988980187
91,649102.468278773
94,735415.9875864468
65,488450.2476271985
77,603124.5832279274
82,532797.2098215696
71,502544.58695644897
79,566040.7952357237
97,604710.3748115262
72,544749.3588503447
77,566480.3956505153
79,697395.1125001012
81,683503.3626709708
88,680137.8909111379
66,584592.2568552383
84,662193.9318370377
88,588160.95924915
78,610215.0971423427
78,683025.4236254882
71,651861.7599725182
90,828218.8485582093
78,509820.37964014104
73,593407.0532276002
95,666100.4205095149
79,461361.93823329086
75,518991.5746082003
73,581786.9296659075
73,523960.9808798383
93,627859.3537002177
81,520997.72338536923
66,537519.3260026174
104,701940.8429635011
89,712003.9135784587
72,460277.0801788543
86,754040.1759662764
84,495397.54478353396
80,463777.66670206963
77,610963.438299628
67,490814.65049087454
75,484671.85071232566
74,533444.6532819727
81,700282.0252116711
82,817622.1930705778
83,639365.6664654403
93,698296.0887060597
68,549270.3645189356
78,611161.6477447196
76,528210.4871406854
68,501972.9524521986
72,580195.1034889786
76,631011.9067878306
82,567270.7906980456
82,603394.1022256741
74,606247.3922736112
79,653160.3793114402
82,518994.0238539482
81,595283.2354819356
96,865993.1316784264
60,428488.84764432214
77,496474.12977183325
83,628692.6146121601
76,512469.3796895808
77,553925.9481282259
76,631475.9221834874
76,574063.5865326861
74,558147.019479075
76,599054.3168360455
92,848950.4722965851
78,457343.99108111294
67,375753.60043529555
69,471004.63286939263
83,549104.3151587935
82,564717.366091008
85,545088.5410411501
74,506014.8402773773
81,587418.3587458611
81,655302.8239409733
95,698392.9037984109
72,639688.1968045814
88,831027.2948541366
89,603837.8519374735
88,713287.6710955675
84,655630.0646225836
85,602384.4155393614
79,734895.073406885
85,623652.8861401242
65,364282.3478684154
99,723876.2380304567
74,553975.7979447965
72,524947.1131142194
72,714791.5866285408
79,620164.0008645203
97,699780.7818621218
94,711439.734573566
86,561415.0057352962
78,524196.4185369201
57,478908.66338333517
99,993628.2495034821
76,484769.40019606485
72,508428.515603557
76,567502.6700144743
80,674629.3206182406
84,651687.0720236575
73,554397.5276198593
73,524581.6730451436
77,525007.522260007
101,784509.7684064321
83,571934.1931855943
78,516897.49050235533
